"","X","address","attributes","business_id","categories","city","hours","is_open","latitude","longitude","name","postal_code","review_count","stars","state"
"9972",32654,"6628 Odana Rd","{'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'Alcohol': ""u'none'"", 'Caters': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'False', 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '1'}","Pt4rt1u_5KuS_NSMqerG_Q","Italian, Caterers, Sandwiches, Pizza, Salad, Restaurants, Event Planning & Services, Chicken Wings","Madison","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-22:0'}",1,43.0558343,-89.4939664,"Pizza Pit Extreme","53719",29,3,"WI"
"10121",33158,"515 S Midvale Blvd","{'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'HasTV': 'False', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'free'"", 'Caters': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""u'beer_and_wine'""}","TQqhfjlPVEz41K_wAogQSQ","Italian, Pizza, Restaurants","Madison","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",1,43.0548519,-89.450401,"Luigi's","53711",108,3.5,"WI"
"10330",33847,"1612 Seminole Hwy","{'RestaurantsTakeOut': 'True', 'GoodForKids': 'False', 'RestaurantsDelivery': 'False', 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'BikeParking': 'False', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""'no'"", 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","lv_ngvbgwcP5pd2hauMOTw","Bars, Nightlife, American (New), Restaurants, Pubs, Beer, Wine & Spirits, Food","Madison","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '9:0-21:0'}",0,43.0354313,-89.444136,"Tony Frank's Tavern","53711",32,3.5,"WI"
"10437",34193,"4280 E Towne Blvd","{'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'WiFi': ""'free'"", 'RestaurantsReservations': 'False', 'HasTV': 'False', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsTableService': 'False', 'RestaurantsAttire': ""u'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}""}","nM2Jl9GS7IGlluey8ieivg","Comfort Food, Italian, Asian Fusion, Restaurants, Noodles, Fast Food, Salad, Thai, Food","Madison","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '10:30-22:0'}",1,43.1254079487,-89.3096987728,"Noodles & Company","53704",44,3,"WI"
"10446",34219,"3001 N Sherman Ave","{'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True'}","ymGn0eZHFM0bI8Ig0EVXWg","Restaurants, Mexican","Madison",NA,1,43.127123002,-89.3631029512,"Habeneros","53704",9,4,"WI"
"10463",34283,"123 E Doty St","{'Corkage': 'False', 'Alcohol': ""'full_bar'"", 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForKids': 'True', 'Caters': 'False', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BYOBCorkage': ""'no'"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForDancing': 'False'}","EgtyW19V-64c6PmRuvzSEA","American (Traditional), Nightlife, Food, Pubs, American (New), Restaurants, Brewpubs, Breweries, Bars","Madison","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:30', 'Saturday': '11:0-2:30', 'Sunday': '10:0-2:0'}",1,43.0744454814,-89.3800637126,"The Great Dane Pub & Brewing Company","53703",725,4,"WI"
"10487",34366,"2433 University Ave","{'RestaurantsDelivery': 'True'}","misaY1ys_h7I2uTeWPMN6A","Vegetarian, Arts & Crafts, Restaurants, Shopping, Cooking Classes, Delis, American (Traditional), Local Flavor","Madison","{'Tuesday': '6:45-19:0', 'Wednesday': '6:45-19:0', 'Thursday': '6:45-19:0', 'Friday': '6:45-19:0'}",1,43.0718643,-89.4283808,"Pasture and Plenty","53726",7,4.5,"WI"
"10503",34413,"4020 Milwaukee St","{'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""'casual'"", 'DriveThru': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}","_tJ1mf_KEL4sx5fh9DTtTw","Burgers, Food, Restaurants, Fast Food, Coffee & Tea","Madison","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,43.0989322847,-89.3148384896,"McDonald's","53704",15,2,"WI"
"10639",34911,"1 John Nolen Dr","{'HasTV': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""'beer_and_wine'"", 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}","8cUCAdu2gFBjdWDKWaetRQ","Seafood, American (Traditional), Restaurants","Madison","{'Monday': '11:0-15:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-20:0'}",1,43.071911,-89.379454,"Lake Vista Cafe","53703",21,4.5,"WI"
"10702",35153,"4426 E Buckeye Rd","{'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1'}","HG2lE2sToF7IdPbl0hz34g","Restaurants, Hot Dogs","Madison",NA,0,43.073723,-89.307305,"Poppa Coronofoulos Gyros & Chicago Style Deli","53716",4,3.5,"WI"
"10740",35293,"1401 University Ave","{'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'GoodForKids': 'False', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'Alcohol': ""u'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'""}","Lku_keJf44D0LxbRAIZOcg","Chinese, Food, Restaurants","Madison","{'Monday': '10:30-21:30', 'Tuesday': '10:30-21:30', 'Wednesday': '10:30-21:30', 'Thursday': '10:30-21:30', 'Friday': '10:30-21:30', 'Saturday': '10:30-21:30', 'Sunday': '10:30-21:30'}",1,43.0732593799,-89.4093034789,"QQ Express","53715",56,3.5,"WI"
"11151",36603,"4500 University Ave","{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""'casual'""}","3a1w3Ufs9CCC3GJTAV8EpQ","Fast Food, Food, Coffee & Tea, Burgers, Restaurants","Madison","{'Monday': '5:0-23:0', 'Tuesday': '5:0-23:0', 'Wednesday': '5:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '5:0-23:0'}",1,43.0759110665,-89.4548245015,"McDonald's","53705",8,2,"WI"
"11166",36643,"2833 E Washington Ave","{'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'NoiseLevel': ""'very_loud'"", 'GoodForKids': 'True', 'Alcohol': ""'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False'}","eZkD1yUKQA6mAfBJTJPD6w","Restaurants, Pizza","Madison","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",1,43.1020421,-89.3446534,"Little Caesars Pizza","53704",7,2.5,"WI"
"11237",36863,"444 S Park St","{'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForDancing': 'False', 'Smoking': ""u'no'"", 'Alcohol': ""'full_bar'"", 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTableService': 'True', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': False}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'free'"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'Music': ""{'dj': False}"", 'GoodForKids': 'True', 'HappyHour': 'True', 'CoatCheck': 'False', 'Caters': 'False'}","tsDdetbc4qtzgAPtcLH87A","Restaurants, American (Traditional), Bars, Food, Comfort Food, Breweries, Nightlife, Pubs","Madison","{'Monday': '11:0-21:45', 'Tuesday': '11:0-21:45', 'Wednesday': '11:0-21:45', 'Thursday': '11:0-21:45', 'Friday': '11:0-23:30', 'Saturday': '11:0-23:30', 'Sunday': '9:30-21:45'}",1,43.062202,-89.401055,"Rockhound Brewing Company","53715",137,3.5,"WI"
"11273",36973,"410 Donofrio Dr","{'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'Caters': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'HasTV': 'False', 'OutdoorSeating': 'True', 'BikeParking': 'False', 'Alcohol': ""'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'free'"", 'Smoking': ""u'no'"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","QfWFxmXqRGixztgaZN0gOA","Breakfast & Brunch, Food, Sandwiches, Restaurants, Salad, Coffee & Tea, Cafes, Juice Bars & Smoothies","Madison","{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0', 'Saturday': '8:0-16:0', 'Sunday': '9:0-14:0'}",1,43.059632,-89.5135344,"Helbachs Coffee House","53719",119,4,"WI"
"11324",37131,"2916 Atwood Ave","{'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'Caters': 'True', 'HappyHour': 'True', 'GoodForDancing': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'WiFi': ""'free'""}","v3AS5LGeV2Si4nOHZ7lgxQ","Specialty Food, Nightlife, Sandwiches, Desserts, Food, Bars, Gluten-Free, Pizza, Pasta Shops, Italian, Food Delivery Services, Chicken Wings, Restaurants, Salad","Madison","{'Monday': '10:30-0:30', 'Tuesday': '10:30-0:30', 'Wednesday': '10:30-0:30', 'Thursday': '10:30-1:30', 'Friday': '10:30-2:0', 'Saturday': '10:30-2:0', 'Sunday': '10:30-0:30'}",1,43.0940218,-89.3412675,"Glass Nickel Pizza","53704",208,4,"WI"
"11427",37416,"447 West Gilman St","{'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'quiet'""}","apDt7MWwZVmh_R1t_WVBzw","Latin American, Restaurants, Delis, Sandwiches","Madison","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-22:0'}",1,43.0736131,-89.3947782,"L & J Deli Store","53703",3,5,"WI"
"11441",37459,"1201 N Sherman Ave","{'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'WiFi': ""'free'"", 'NoiseLevel': ""'quiet'"", 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Alcohol': ""'beer_and_wine'"", 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'""}","ISE6RcXsgPO1MgxypROEYg","Breakfast & Brunch, American (Traditional), Restaurants","Madison","{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:0', 'Saturday': '6:0-21:0', 'Sunday': '6:0-21:0'}",0,43.1128465,-89.3637702,"Northside Family Restaurant","53704",10,3,"WI"
"11478",37608,"449 State St","{'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'False', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'Alcohol': ""u'beer_and_wine'""}","tSzIHI6ioblP1WEQAQNbhw","Japanese, Sushi Bars, Seafood, Restaurants","Madison","{'Tuesday': '16:30-22:0', 'Wednesday': '16:30-22:0', 'Thursday': '16:30-22:0', 'Friday': '16:30-22:0', 'Saturday': '16:30-22:0', 'Sunday': '16:30-22:0'}",0,43.0745126,-89.3933663,"Wasabi Japanese Restaurant & Sushi Bar","53703",84,3.5,"WI"
"11538",37763,"1929 Winnebago St","{'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'beer_and_wine'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'Caters': 'True'}","VO2WD2hE1jLyNFCja3XlGg","Coffee & Tea, Restaurants, Sandwiches, Food, American (New)","Madison","{'Tuesday': '8:0-14:0', 'Wednesday': '8:0-14:0', 'Thursday': '8:0-14:0', 'Friday': '8:0-14:0', 'Saturday': '8:0-14:0', 'Sunday': '9:0-14:0'}",0,43.0911066,-89.3556528,"Mermaid Cafe","53704",55,4.5,"WI"
"11593",37937,"904 Williamson St","{'GoodForKids': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'DietaryRestrictions': ""{'dairy-free': False, 'gluten-free': False, 'vegan': True, 'kosher': False, 'halal': False, 'soy-free': False, 'vegetarian': False}"", 'DogsAllowed': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTableService': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'HasTV': 'False', 'BikeParking': 'True', 'Caters': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2'}","2zx0Pt5OeHhjAZoNRqYTog","Steakhouses, Tapas Bars, Spanish, Vegan, Tapas/Small Plates, Restaurants, Vegetarian","Madison","{'Monday': '0:0-0:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '12:0-20:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-22:0'}",1,43.0797595,-89.369608,"Fuegos - Steak Tapas Vegan","53703",194,3.5,"WI"
"11600",37961,"117 W Main St","{'RestaurantsTakeOut': 'False', 'CoatCheck': 'False', 'Smoking': ""u'outdoor'"", 'OutdoorSeating': 'False', 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'GoodForDancing': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'Alcohol': ""u'full_bar'"", 'BikeParking': 'True', 'Music': ""{'dj': True}"", 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'GoodForKids': 'False', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'free'"", 'RestaurantsAttire': ""'casual'"", 'HappyHour': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False'}","OHlWeG019fqPbvYO5ZDEqg","Nightlife, Gay Bars, American (Traditional), Bars, Restaurants","Madison","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-11:15', 'Sunday': '11:0-11:15'}",1,43.072439,-89.38461,"Shamrock Bar & Grille","53703",20,4,"WI"
"11631",38084,"2701 Monroe St, Ste 250","{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'HasTV': 'False', 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'RestaurantsTableService': 'False', 'Caters': 'True', 'Alcohol': ""'beer_and_wine'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""'casual'""}","VTJIw7e4s5MSkg4OdNer6w","Poke, Restaurants, Food, Hawaiian","Madison","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",1,43.0565808,-89.4291096,"Miko Poke","53711",197,4,"WI"
